Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
TERÍTŐ UTCA,stimuli/objects/014a.jpg,object,left,Hippopolis,2,stimuli/scenes/074a.jpg,stimuli/scenes/061a.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/061b.jpg,dist1,target,lure,dist2
PÁFRÁNY UTCA,stimuli/scenes/007a.jpg,scene,right,Hippopolis,2,stimuli/objects/042a.jpg,stimuli/scenes/017b.jpg,stimuli/scenes/017a.jpg,stimuli/objects/042a.jpg,stimuli/objects/042b.jpg,dist2,dist1,target,lure
HERNYÓ UTCA,stimuli/scenes/045a.jpg,scene,right,Hippopolis,0,stimuli/scenes/045a.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/045b.jpg,stimuli/scenes/045a.jpg,stimuli/scenes/064b.jpg,dist1,lure,target,dist2
OLDAL UTCA,stimuli/scenes/085a.jpg,scene,right,Hippopolis,0,stimuli/scenes/085a.jpg,stimuli/scenes/021a.jpg,stimuli/scenes/085a.jpg,stimuli/scenes/085b.jpg,stimuli/scenes/021b.jpg,dist1,target,lure,dist2
BAGOLY UTCA,stimuli/objects/069a.jpg,object,left,Hippopolis,2,stimuli/scenes/108a.jpg,stimuli/scenes/108a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/074a.jpg,target,dist2,lure,dist1
PÉKSÉG UTCA,stimuli/scenes/094a.jpg,scene,right,Hippopolis,2,stimuli/objects/094a.jpg,stimuli/objects/094a.jpg,stimuli/scenes/115a.jpg,stimuli/objects/094b.jpg,stimuli/scenes/115b.jpg,target,dist1,lure,dist2
SIVATAG UTCA,stimuli/objects/083a.jpg,object,left,Hippopolis,2,stimuli/scenes/091a.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/103a.jpg,stimuli/scenes/103b.jpg,target,lure,dist1,dist2
KOSÁR UTCA,stimuli/objects/015a.jpg,object,left,Hippopolis,2,stimuli/scenes/115a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/115a.jpg,stimuli/scenes/088a.jpg,stimuli/scenes/115b.jpg,dist2,target,dist1,lure
ZONGORA UTCA,stimuli/objects/061a.jpg,object,left,Hippopolis,1,stimuli/objects/001a.jpg,stimuli/objects/112a.jpg,stimuli/objects/112b.jpg,stimuli/objects/001b.jpg,stimuli/objects/001a.jpg,dist1,dist2,lure,target
REPÜLŐ UTCA,stimuli/scenes/054a.jpg,scene,right,Hippopolis,2,stimuli/objects/089a.jpg,stimuli/objects/089a.jpg,stimuli/objects/071b.jpg,stimuli/objects/089b.jpg,stimuli/objects/071a.jpg,target,dist2,lure,dist1
