Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
TALICSKA UTCA,stimuli/scenes/040a.jpg,scene,right,Hippopolis,2,stimuli/objects/010a.jpg,stimuli/objects/010b.jpg,stimuli/objects/010a.jpg,stimuli/objects/058b.jpg,stimuli/objects/058a.jpg,lure,target,dist2,dist1
MENTA UTCA,stimuli/objects/079a.jpg,object,left,Hippopolis,1,stimuli/objects/068a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/097a.jpg,stimuli/objects/068a.jpg,stimuli/objects/068b.jpg,dist2,dist1,target,lure
KOKTÉL UTCA,stimuli/objects/119a.jpg,object,left,Hippopolis,1,stimuli/objects/087a.jpg,stimuli/objects/088b.jpg,stimuli/objects/087a.jpg,stimuli/objects/088a.jpg,stimuli/objects/087b.jpg,dist2,target,dist1,lure
FÓKA UTCA,stimuli/objects/090a.jpg,object,left,Hippopolis,2,stimuli/scenes/084a.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/084b.jpg,dist2,dist1,target,lure
VIHAR UTCA,stimuli/scenes/039a.jpg,scene,right,Hippopolis,0,stimuli/scenes/039a.jpg,stimuli/scenes/039b.jpg,stimuli/objects/045b.jpg,stimuli/scenes/039a.jpg,stimuli/objects/045a.jpg,lure,dist2,target,dist1
KAKAS UTCA,stimuli/scenes/080a.jpg,scene,right,Hippopolis,1,stimuli/scenes/083a.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/037b.jpg,stimuli/scenes/083a.jpg,stimuli/scenes/083b.jpg,dist1,dist2,target,lure
MOTOR UTCA,stimuli/scenes/107a.jpg,scene,right,Hippopolis,0,stimuli/scenes/107a.jpg,stimuli/scenes/107a.jpg,stimuli/scenes/039b.jpg,stimuli/scenes/107b.jpg,stimuli/scenes/039a.jpg,target,dist2,lure,dist1
MANDARIN UTCA,stimuli/scenes/108a.jpg,scene,right,Hippopolis,2,stimuli/objects/049a.jpg,stimuli/objects/049b.jpg,stimuli/objects/049a.jpg,stimuli/objects/095a.jpg,stimuli/objects/095b.jpg,lure,target,dist1,dist2
SÜTEMÉNY UTCA,stimuli/objects/001a.jpg,object,left,Hippopolis,2,stimuli/scenes/012a.jpg,stimuli/scenes/012b.jpg,stimuli/scenes/025b.jpg,stimuli/scenes/012a.jpg,stimuli/scenes/025a.jpg,lure,dist2,target,dist1
KORONA UTCA,stimuli/objects/023a.jpg,object,left,Hippopolis,0,stimuli/objects/023a.jpg,stimuli/objects/023a.jpg,stimuli/objects/017b.jpg,stimuli/objects/023b.jpg,stimuli/objects/017a.jpg,target,dist2,lure,dist1
MUNKA UTCA,stimuli/objects/106a.jpg,object,left,Hippopolis,2,stimuli/scenes/049a.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/049a.jpg,stimuli/scenes/034a.jpg,stimuli/scenes/034b.jpg,lure,target,dist1,dist2
TIGRIS UTCA,stimuli/scenes/023a.jpg,scene,right,Hippopolis,2,stimuli/objects/006a.jpg,stimuli/objects/094a.jpg,stimuli/objects/006a.jpg,stimuli/objects/006b.jpg,stimuli/objects/094b.jpg,dist1,target,lure,dist2
SZOMSZÉD UTCA,stimuli/scenes/036a.jpg,scene,right,Hippopolis,2,stimuli/objects/029a.jpg,stimuli/scenes/021b.jpg,stimuli/scenes/021a.jpg,stimuli/objects/029b.jpg,stimuli/objects/029a.jpg,dist2,dist1,lure,target
HORGONY UTCA,stimuli/objects/061a.jpg,object,left,Hippopolis,0,stimuli/objects/061a.jpg,stimuli/objects/061b.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/106a.jpg,stimuli/objects/061a.jpg,lure,dist2,dist1,target
EGÉR UTCA,stimuli/scenes/099a.jpg,scene,right,Hippopolis,0,stimuli/scenes/099a.jpg,stimuli/scenes/099b.jpg,stimuli/scenes/008b.jpg,stimuli/scenes/099a.jpg,stimuli/scenes/008a.jpg,lure,dist2,target,dist1
