Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
DOMINÓ UTCA,stimuli/objects/108a.jpg,object,left,Camponello,0,stimuli/objects/108a.jpg,stimuli/objects/070a.jpg,stimuli/objects/108b.jpg,stimuli/objects/070b.jpg,stimuli/objects/108a.jpg,dist1,lure,dist2,target
FÉSŰ UTCA,stimuli/scenes/039a.jpg,scene,right,Camponello,2,stimuli/objects/065a.jpg,stimuli/objects/077b.jpg,stimuli/objects/065a.jpg,stimuli/objects/077a.jpg,stimuli/objects/065b.jpg,dist2,target,dist1,lure
SZIKLA UTCA,stimuli/scenes/114a.jpg,scene,right,Camponello,0,stimuli/scenes/114a.jpg,stimuli/scenes/114a.jpg,stimuli/scenes/053a.jpg,stimuli/scenes/053b.jpg,stimuli/scenes/114b.jpg,target,dist1,dist2,lure
PAPAGÁJ UTCA,stimuli/objects/040a.jpg,object,left,Camponello,0,stimuli/objects/040a.jpg,stimuli/objects/040a.jpg,stimuli/objects/040b.jpg,stimuli/objects/022b.jpg,stimuli/objects/022a.jpg,target,lure,dist2,dist1
KATONA UTCA,stimuli/scenes/017a.jpg,scene,right,Camponello,1,stimuli/scenes/100a.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/100a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/076b.jpg,dist1,target,lure,dist2
BÖGRE UTCA,stimuli/scenes/040a.jpg,scene,right,Camponello,0,stimuli/scenes/040a.jpg,stimuli/scenes/040a.jpg,stimuli/objects/050b.jpg,stimuli/scenes/040b.jpg,stimuli/objects/050a.jpg,target,dist2,lure,dist1
LEVÉL UTCA,stimuli/scenes/038a.jpg,scene,right,Camponello,0,stimuli/scenes/038a.jpg,stimuli/scenes/052a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/052b.jpg,stimuli/scenes/038b.jpg,dist1,target,dist2,lure
SUGÁR UTCA,stimuli/objects/075a.jpg,object,left,Camponello,2,stimuli/scenes/103a.jpg,stimuli/objects/007a.jpg,stimuli/objects/007b.jpg,stimuli/scenes/103b.jpg,stimuli/scenes/103a.jpg,dist1,dist2,lure,target
FÓKA UTCA,stimuli/objects/083a.jpg,object,left,Camponello,0,stimuli/objects/083a.jpg,stimuli/objects/083b.jpg,stimuli/scenes/091b.jpg,stimuli/objects/083a.jpg,stimuli/scenes/091a.jpg,lure,dist2,target,dist1
MUNKA UTCA,stimuli/scenes/118a.jpg,scene,right,Camponello,1,stimuli/scenes/117a.jpg,stimuli/scenes/032b.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/032a.jpg,stimuli/scenes/117b.jpg,dist2,target,dist1,lure
BOLYGÓ UTCA,stimuli/objects/091a.jpg,object,left,Camponello,2,stimuli/scenes/021a.jpg,stimuli/objects/089b.jpg,stimuli/scenes/021b.jpg,stimuli/scenes/021a.jpg,stimuli/objects/089a.jpg,dist2,lure,target,dist1
HARMONIKA UTCA,stimuli/scenes/033a.jpg,scene,right,Camponello,0,stimuli/scenes/033a.jpg,stimuli/scenes/033b.jpg,stimuli/objects/055b.jpg,stimuli/objects/055a.jpg,stimuli/scenes/033a.jpg,lure,dist2,dist1,target
EGÉR UTCA,stimuli/objects/082a.jpg,object,left,Camponello,0,stimuli/objects/082a.jpg,stimuli/objects/030b.jpg,stimuli/objects/082b.jpg,stimuli/objects/082a.jpg,stimuli/objects/030a.jpg,dist2,lure,target,dist1
PADLÓ UTCA,stimuli/scenes/078a.jpg,scene,right,Camponello,1,stimuli/scenes/032a.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,stimuli/scenes/032b.jpg,stimuli/scenes/032a.jpg,dist1,dist2,lure,target
HÁRFA UTCA,stimuli/objects/070a.jpg,object,left,Camponello,0,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,stimuli/objects/070a.jpg,stimuli/objects/051b.jpg,stimuli/objects/051a.jpg,lure,target,dist2,dist1
SZŐNYEG UTCA,stimuli/scenes/101a.jpg,scene,right,Camponello,2,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,stimuli/objects/072a.jpg,stimuli/scenes/103a.jpg,stimuli/scenes/103b.jpg,lure,target,dist1,dist2
FEJSZE UTCA,stimuli/objects/031a.jpg,object,left,Camponello,0,stimuli/objects/031a.jpg,stimuli/objects/082a.jpg,stimuli/objects/031a.jpg,stimuli/objects/031b.jpg,stimuli/objects/082b.jpg,dist1,target,lure,dist2
MARTINI UTCA,stimuli/scenes/112a.jpg,scene,right,Camponello,2,stimuli/objects/007a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/007b.jpg,stimuli/objects/007a.jpg,stimuli/scenes/014a.jpg,dist2,lure,target,dist1
